RecordingTime [ms],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px]
1745248656.4491143,312,275,217,273
1745248656.4962766,311,274,217,272
1745248656.5465522,311,276,216,274
1745248656.5883863,310,275,216,273
1745248656.6411753,309,274,216,272
1745248656.6848888,310,273,215,271
1745248656.735265,310,273,214,271
1745248656.7990346,309,276,214,274
1745248656.8475332,308,275,215,273
1745248656.8957355,308,274,213,272
1745248656.9451673,307,273,213,271
1745248656.9791632,307,273,212,271
1745248657.049868,307,273,213,272
1745248657.0987763,308,270,213,269
1745248657.142845,307,270,214,269
1745248657.210463,307,271,213,270
1745248657.254611,307,271,214,270
1745248657.3035684,308,271,214,270
1745248657.355542,307,270,214,269
1745248657.409928,307,271,213,270
1745248657.4857275,307,271,213,270
1745248657.5232065,307,270,213,270
1745248657.5760763,307,270,213,269
1745248657.6259854,307,271,213,269
1745248657.6789865,307,270,212,270
1745248657.737191,306,271,213,270
1745248657.8043797,306,270,213,270
1745248657.8472762,307,271,212,270
1745248657.8934846,306,270,212,270
1745248657.948263,307,271,212,270
1745248657.9953654,306,271,212,270
1745248658.0414784,306,271,212,270
1745248658.0872762,307,271,212,270
1745248658.1381934,307,271,212,270
1745248658.1890988,307,271,212,270
1745248658.2382207,307,269,212,268
1745248658.2839024,306,268,212,267
1745248658.3483315,306,267,212,267
1745248658.4034379,306,267,212,267
1745248658.4498456,306,267,212,266
1745248658.52506,306,266,212,266
1745248658.573498,306,267,213,266
1745248658.6260092,306,267,212,266
1745248658.6775224,306,267,212,266
1745248658.729504,306,266,212,265
1745248658.799207,306,266,213,266
1745248658.8606212,305,268,212,267
1745248658.929305,305,269,212,269
1745248658.9854684,305,269,211,269
1745248659.042037,305,269,211,269
1745248659.0846763,305,269,212,269
1745248659.142116,305,270,211,270
1745248659.1874137,305,270,211,270
1745248659.246683,304,271,210,271
1745248659.2963943,305,272,211,271
1745248659.3503194,306,271,210,271
1745248659.392171,306,271,210,270
1745248659.4436228,305,269,211,269
1745248659.5005896,305,268,211,268
1745248659.550624,304,268,211,268
1745248659.611655,305,268,211,268
1745248659.6556535,305,268,212,268
1745248659.7002597,306,268,212,268
1745248659.7557552,306,269,212,269
1745248659.8063014,305,269,212,269
1745248659.8755085,305,269,211,269
1745248659.9214458,304,269,211,270
1745248659.9709594,304,269,210,269
1745248660.0230415,302,271,209,272
1745248660.0777202,304,270,209,270
1745248660.1213443,304,269,209,270
1745248660.16708,303,268,210,269
1745248660.2362905,303,268,211,269
1745248660.3038535,304,267,211,268
1745248660.3550124,310,265,217,266
1745248660.3960478,311,266,219,266
1745248660.4502215,313,265,219,266
1745248660.5289366,314,265,221,266
1745248660.5750923,313,265,221,266
1745248660.6357734,313,265,221,266
1745248660.6762667,313,266,221,266
1745248660.74399,313,266,221,266
1745248660.812175,313,265,220,265
1745248660.8689194,311,267,219,267
1745248660.915207,310,268,218,268
1745248660.9862483,309,269,215,269
1745248661.0456443,305,268,212,268
1745248661.1052346,305,268,212,268
1745248661.1654546,304,268,211,268
1745248661.238549,303,268,209,268
1745248661.2856789,303,268,209,268
1745248661.3515913,303,268,209,268
1745248661.4056442,302,267,209,268
1745248661.4588459,302,268,208,269
1745248661.5067937,300,267,207,268
1745248661.5572486,300,267,206,268
1745248661.6046903,299,267,205,268
1745248661.6457777,299,267,205,269
1745248661.7132995,297,267,204,268
1745248661.7694948,293,266,201,267
1745248661.845668,292,266,200,269
1745248661.9091723,292,267,199,269
1745248661.9546,288,262,196,264
1745248661.999954,288,261,194,262
1745248662.06097,287,261,195,262
1745248662.1032863,287,261,195,261
1745248662.146113,286,260,195,261
1745248662.1806734,287,260,196,261
1745248662.2459784,287,260,195,260
1745248662.293852,286,259,195,261
1745248662.3383744,287,260,195,262
1745248662.3740396,286,260,195,261
1745248662.432579,286,260,195,261
1745248662.4909637,287,260,196,261
1745248662.532548,287,260,195,262
1745248662.5984561,287,260,196,261
1745248662.6466045,277,256,185,259
1745248662.6940672,273,254,180,259
1745248662.748578,268,254,177,260
1745248662.8003,265,254,174,261
1745248662.858322,266,256,170,267
1745248662.9011443,265,252,170,264
1745248662.9474978,265,248,171,260
1745248662.9921234,264,245,170,258
1745248663.0508554,263,245,170,258
1745248663.1090744,262,245,169,259
1745248663.1684604,265,240,172,252
1745248663.217979,268,240,175,252
1745248663.2877443,271,243,178,253
1745248663.3311365,274,244,181,254
1745248663.3670201,278,244,184,254
1745248663.446971,290,240,194,247
1745248663.512547,292,240,197,247
1745248663.573321,293,241,198,246
1745248663.6377072,293,232,198,237
1745248663.684237,294,232,198,237
1745248663.7257612,293,233,198,238
1745248663.7849524,294,233,199,238
1745248663.831771,295,233,199,239
1745248663.8779004,296,232,199,237
1745248663.9229152,303,235,201,241
1745248663.9941728,304,237,203,242
1745248664.0481997,307,238,204,243
1745248664.114384,308,240,205,244
1745248664.1683753,317,250,210,250
1745248664.2293038,318,252,211,252
1745248664.2723114,318,253,213,253
1745248664.318334,319,252,212,252
1745248664.3685024,320,253,213,252
1745248664.4281833,319,263,212,261
1745248664.4727278,319,262,212,261
1745248664.51525,318,261,211,260
1745248664.5685074,317,261,210,260
1745248664.6237457,316,261,209,261
1745248664.671981,315,263,207,263
1745248664.7389617,311,264,204,264
1745248664.7862556,311,263,203,263
1745248664.82993,310,263,202,264
1745248664.8733943,310,264,202,264
1745248664.9156172,310,265,202,266
1745248664.9543653,309,266,202,267
1745248664.9992337,309,266,201,267
1745248665.0500636,309,266,201,267
1745248665.0971007,309,267,201,267
1745248665.1411273,309,267,201,268
1745248665.1794586,309,268,201,268
1745248665.2454937,309,268,201,268
1745248665.2918236,309,267,200,268
1745248665.3345492,309,268,201,268
1745248665.3734496,309,268,200,268
1745248665.4515631,309,269,201,270
1745248665.503725,309,269,200,270
1745248665.5714808,309,269,201,270
1745248665.641747,310,270,201,271
1745248665.7024398,310,270,200,271
1745248665.7519674,310,271,201,272
1745248665.808971,310,272,202,272
1745248665.8672512,311,272,201,273
1745248665.9119296,311,273,202,273
1745248665.9690442,310,273,202,274
1745248666.0228078,311,273,201,274
1745248666.096524,311,274,201,275
1745248666.1510134,311,274,202,275
1745248666.18478,311,275,202,275
1745248666.2342541,311,275,201,275
1745248666.3029401,311,275,201,275
1745248666.366673,311,276,201,276
1745248666.438201,311,276,200,276
1745248666.4823847,311,275,201,276
1745248666.5517573,311,275,201,275
1745248666.5960333,311,276,201,276
1745248666.6554177,312,276,201,276
1745248666.718252,312,276,202,277
1745248666.7643602,312,276,203,277
1745248666.825261,315,279,204,279
1745248666.8731518,315,280,205,279
1745248666.917704,316,281,206,281
1745248666.967894,316,281,206,281
1745248667.0107617,317,281,205,281
1745248667.0593889,317,282,206,281
1745248667.1033032,317,281,207,281
1745248667.1717148,317,282,206,282
1745248667.2177496,318,281,207,281
1745248667.2700405,318,282,207,282
1745248667.315436,317,282,207,282
1745248667.356563,318,282,207,282
1745248667.4012299,318,282,207,282
1745248667.4600186,318,284,207,283
1745248667.5298574,318,284,207,284
1745248667.583456,318,284,207,284
1745248667.635369,318,283,207,283
1745248667.6905317,318,285,208,285
1745248667.7377274,318,285,208,285
1745248667.7911835,318,285,208,284
1745248667.833357,319,284,207,284
1745248667.8841412,319,284,207,284
1745248667.9513412,319,286,208,286
1745248668.0134609,321,286,209,286
1745248668.0579917,321,286,209,285
1745248668.1173139,321,286,209,286
1745248668.1581712,320,286,208,285
1745248668.201529,320,285,209,285
1745248668.2684507,320,286,209,286
1745248668.3153162,320,286,210,286
1745248668.3589568,320,287,209,286
1745248668.4029496,320,287,209,286
1745248668.4660816,320,287,210,286
1745248668.5123332,321,287,210,287
1745248668.5584815,321,288,210,287
1745248668.6010144,321,288,210,287
1745248668.683129,321,288,210,287
1745248668.7366197,321,288,210,287
1745248668.791136,321,289,210,288
1745248668.853672,321,289,210,289
1745248668.9050303,321,290,210,289
1745248668.9602802,321,290,210,289
1745248669.005237,322,290,210,289
1745248669.0502439,321,292,211,291
1745248669.0956998,322,292,211,291
1745248669.1398113,323,292,211,291
1745248669.1848078,323,292,211,291
1745248669.2314606,323,292,211,291
1745248669.2965202,323,293,211,291
1745248669.3436935,324,293,212,292
1745248669.3969753,324,293,212,292
1745248669.4415035,323,293,213,293
1745248669.51024,324,293,212,292
1745248669.5510447,324,294,213,293
1745248669.6033113,324,294,214,293
1745248669.6566713,325,295,214,294
1745248669.69882,324,295,213,294
1745248669.7554142,324,296,214,295
1745248669.7960942,324,296,214,295
1745248669.8459537,324,296,213,294
1745248669.893525,325,295,214,295
1745248669.9366133,326,296,213,294
1745248669.9846804,325,296,212,295
1745248670.0462372,325,297,213,295
1745248670.0905676,324,296,212,295
1745248670.1550035,325,296,213,295
1745248670.2115235,324,296,213,295
1745248670.2567632,326,297,212,296
1745248670.3032815,325,297,213,296
1745248670.352087,325,297,213,296
1745248670.3866093,325,298,212,296
1745248670.4402173,325,298,213,297
1745248670.506458,325,298,212,296
1745248670.550442,325,297,213,296
1745248670.5957098,325,298,213,297
1745248670.6495202,324,298,213,297
1745248670.6929998,325,298,212,297
1745248670.734961,325,298,212,296
1745248670.7869396,325,298,213,297
1745248670.8356636,325,298,213,297
1745248670.896845,324,299,213,297
1745248670.9638097,324,298,213,297
1745248671.01388,324,298,212,297
1745248671.0640361,324,298,213,297
1745248671.1239867,324,298,212,298
1745248671.1776192,324,299,211,298
1745248671.2464607,324,299,211,298
1745248671.298284,323,299,211,298
1745248671.3417203,323,300,210,299
1745248671.39985,323,300,210,299
1745248671.4426775,323,300,211,299
1745248671.4882674,323,300,212,299
1745248671.530131,324,300,211,299
1745248671.5833693,324,300,210,299
1745248671.631582,323,300,211,299
1745248671.6972752,324,300,212,299
1745248671.7500145,324,300,212,299
1745248671.791963,325,300,211,299
1745248671.8565729,324,301,212,300
1745248671.914096,324,301,211,300
1745248671.9681172,324,302,212,301
1745248672.0229206,325,302,212,301
1745248672.0664167,325,302,212,301
1745248672.1177442,325,302,212,301
1745248672.1705747,325,302,212,301
1745248672.2362552,326,302,212,301
1745248672.2801487,325,302,211,301
1745248672.3254936,326,302,211,301
1745248672.3675253,325,302,211,301
1745248672.4261382,325,302,211,301
1745248672.4696443,325,302,211,302
1745248672.51642,325,302,211,302
1745248672.560677,324,303,210,302
1745248672.6107574,324,303,211,302
1745248672.6613972,324,303,210,302
1745248672.7030354,324,303,210,301
1745248672.7530525,324,302,210,301
1745248672.8021822,325,302,211,301
1745248672.854026,325,303,211,302
1745248672.9038506,324,304,211,303
1745248672.959942,324,304,212,303
1745248672.996379,324,304,211,302
1745248673.047397,325,303,211,302
1745248673.090134,324,304,211,302
1745248673.1454074,325,303,211,302
1745248673.190934,325,302,211,301
1745248673.2611701,325,302,211,301
1745248673.3070948,325,303,211,301
1745248673.369112,325,303,211,302
1745248673.4228048,325,303,210,302
1745248673.4691188,324,303,210,302
1745248673.5165467,324,303,211,302
1745248673.5730171,324,303,211,302
1745248673.6235797,324,303,211,302
1745248673.6754076,323,304,211,302
1745248673.7159147,323,303,212,302
1745248673.7758222,324,303,211,302
1745248673.813492,323,303,210,302
1745248673.8719203,324,303,212,302
1745248673.9195604,324,303,211,302
1745248673.9627385,325,303,211,301
1745248674.0223324,324,303,212,302
1745248674.0706003,325,304,212,302
1745248674.123365,325,304,211,302
1745248674.194393,325,303,213,302
1745248674.2514527,326,302,212,301
1745248674.306366,325,302,212,300
1745248674.3682222,325,302,212,300
1745248674.416539,324,302,212,300
1745248674.474286,324,302,212,300
1745248674.5477176,324,302,211,300
1745248674.584907,324,302,212,300
1745248674.6574786,323,302,211,300
1745248674.7026536,324,301,211,300
1745248674.772363,323,302,210,301
1745248674.8212078,322,304,211,303
1745248674.8746793,323,305,211,304
1745248674.9171379,322,304,210,304
1745248674.9727626,323,303,209,303
1745248675.0389757,323,303,211,302
1745248675.0989766,323,303,210,302
1745248675.1612535,323,303,209,302
1745248675.2084055,323,304,211,303
1745248675.2640326,323,304,210,303
1745248675.3140736,323,304,210,303
1745248675.3568425,323,304,210,303
1745248675.4006243,324,304,210,303
1745248675.4483547,324,304,211,303
1745248675.5083234,323,304,211,303
1745248675.5689757,324,305,211,304
1745248675.626036,324,305,211,304
1745248675.6689627,324,305,211,304
1745248675.7165978,324,305,212,304
1745248675.7582304,324,305,212,304
1745248675.8027785,325,305,212,304
1745248675.8460803,325,305,212,304
1745248675.8931348,325,306,211,304
1745248675.9482315,325,306,211,305
1745248675.99312,324,306,211,305
1745248676.04694,324,306,212,305
1745248676.0951939,324,306,212,306
1745248676.1398656,325,306,211,306
1745248676.1873202,324,307,212,306
1745248676.253425,325,307,211,306
1745248676.3113685,323,307,211,306
1745248676.354908,324,306,211,306
1745248676.3971746,325,306,211,306
1745248676.4492414,325,307,212,306
1745248676.501278,325,307,211,307
1745248676.576193,325,307,211,306
1745248676.6380494,325,307,211,307
1745248676.6827118,325,307,212,307
1745248676.7340615,325,308,212,307
1745248676.8086836,326,308,212,307
1745248676.8729286,325,308,212,307
1745248676.923844,325,308,213,308
1745248676.9664366,326,308,212,308
1745248677.0294108,325,308,212,308
1745248677.0929632,326,308,211,308
1745248677.1499977,325,308,211,308
1745248677.1970396,325,308,212,308
1745248677.2592585,324,308,211,308
1745248677.302553,325,308,212,308
1745248677.3474047,325,308,211,307
1745248677.4056313,325,308,211,308
1745248677.4503205,325,308,210,308
1745248677.5039885,325,309,211,308
1745248677.5581994,325,308,211,308
1745248677.6018617,325,308,211,307
1745248677.6599863,325,308,212,308
1745248677.7042327,325,309,212,308
1745248677.7579226,326,309,212,308
1745248677.816285,327,309,213,309
1745248677.8760371,327,309,213,308
1745248677.9206088,327,310,213,309
1745248677.9871786,328,309,213,309
1745248678.0396113,327,311,211,309
1745248678.1112435,328,310,212,309
1745248678.1706235,327,311,212,310
1745248678.2165184,327,311,212,309
1745248678.2706711,326,310,210,309
1745248678.3166301,326,310,210,309
1745248678.3794572,326,311,211,310
